SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/05/2023-31/05/2023,,
,,
Product Name,Qty.,Amount
BRU 50G,1,107
CHIA SEEDS,3,107
KIS KETCUP,1,105
G LABLE 100G,3,105
BARLY 100G,5,105
ENO 10RS,11,105
RIN POWDER 500GM,2,104
PATANJALI 100GM,1,102
VENEGER,2,102
ODONIL,2,100
P CHUTE JASMINE,1,100
WHEEL SOAP 10RS,10,98.8
DOMEX TOILET,1,97
PARRY BROWN SUGA,2,94
MEDIMEX SET,1,93
EV GARAM 50GM,2,90
M MOGGU,0.08,88
3ROSES 100G,1,88
ANIL SEMIYA 200M,4,88
COPRA CUT,1,87
ANNAS FLOWER,0.08,84
DHEPAM OIL 500ML,1,80
NANDINI GHEE 200,1,80
ACT 10RS,8,80
MEERA SHAMPO 2RS,40,80
GIL PRISTO,4,80
SCBRITE 10RS,8,80
PALAV MIX 10RS,8,80
HOMELITE,8,80
BUDS TULIP,2,80
K DEVAN 250GM,1,77
SWA 10RS,1,75
MANGAL DEEP DOOP,5,75
AA DP 100GM,2.5,75
MTR BADAM POW 10,1,75
EV CHAT 50GM,2,74
MTR RASAM 100G,1,73
UJALA BIG,1,73
BALLAR,0.5,72.5
AA SP 100GM,1.5,72
HAMSA RICE,2,70
CAMPAR JAR,1,70
B L AVALAKI,2,70
REXONA SOAP,2,70
JAGARRY POWDER,1,70
SUNPURE 500ML,1,70
CINTOL SOAP SET,2,68
DABUR PASTE 100G,1,65
VASU BIG,2,65
APLA 30RS,2,62
BULLET SONA,1,62
MEDIMIX S,2,62
BRU 2RS,31,62
EXO ROUND S,2,60
BROOM K,1,60
YALAKI 10GM,3,60
APLA MASALA 70RS,1,60
GRB DP 100GM,2,60
RED LABLE 10RS,6,60
PEPSDENT 100GM,1,58
CYCLE 20RS,3,57
COL BRUSH 20RS,3,56
RAVA B PKT,1,56
SWARNA CHAMPA 60,1,55
PONDS 75RS,1,55
MAGGI 4PACK,1,55
SENSODEBE BRUSH,1,55
GINGER GARLIC 5R,11,55
SAIGO 100GM,3,54
CLOSE UP 100,1,53
VIM LIQ 250ML,1,53
YIPPEE 45RS,1,52
SUGAR CANDY,0.25,50
HOLIGE PAPER,5,50
BLOCK STONE 55RS,1,50
MTR G MASALA 50,1,50
CYCLE 10RS,5,50
BRU 10RS,5,50
CHANDRIKA SET,1,48
BAMBINO 500GM,1,47
MEDIMIX GLY,1,44
TATA ROCK SALT,2,42
GARLIC PASTE 200,1,40
GAR COLOR BLK PK,1,40
VASU 20RS,2,40
BALLAR DAL,0.25,40
TATA GOLD 100,1,39
LAVANG 10GM,2,39
MTR JEERA POW 50,1,38
DABUR HONEY 50G,1,37
ROCKSALT,2,36
COMFART 4RS,9,36
LIFE BOY REF 40R,1,35
NY THILL 100G,1,35
DALDA 200ML,1,35
CAMPAR 50RS,1,35
WHISPER,1,30
MTR 10RS,3,30
AA CHIKEN 10RS,3,30
IG PULIOGARE,3,30
SOYA CHUNKS L,1,30
KASTURI METHI 10,1,30
CP 100GM,1,30
JEERA 10RS,3,30
BLACK JEERA,0.1,30
B BANSI RAVA,0.5,29
SUNRISE 100G,30,28.5
PALAV LEAF LOOSE,0.1,28
KAL HUVA,0.03,25.5
LOBA [W],0.25,25
AA CHIKEN 50GM,1,25
UJALA S,1,25
TEJU GARAM 50,1,25
TASTING POWDAR,0.1,25
KARJURA 500GM,0.1,24
KIS JAM 20RS,1,20
TEJU 10RS,2,20
FAIR N LOVELY 20,1,20
OMA 50GM,1,20
INDICA COLOR 40R,1,20
SODA,2,20
SOUMP 50G,1,20
CAMPAR 20RS,2,20
B THILL 50G,1,20
HORLICKS 5RS,4,20
GRB 10RS,2,20
IDLY RAVA,0.5,19
BLECHING POWDER,1,18
YALAKI POWDER,1,16
BOOST 5RS,3,15
LIFE BOY 10RS,1,10
SANTOOR 10RS,1,10
PONDS 10RS,1,10
KUNKMA 10RS,1,10
BADAM SEEDS 10RS,1,10
CHETA MBOX,1,10
HING 10RS,1,10
RIN POWDER 10RS,1,9.5
VIM 25RS,,
,-----,-----------
SubTotal,8873.445,606500.69
,,
Discount                       -21.39,,
,,
Tax Details :,,
  GST Collected                102.92,,
-------------------------------------,,
606625,,
-------------------------------------,,
