product_name,quantity,amount
BLECHING POWDER,3,66
MTR PAYASA 100GM,1,65.5
FORTUNE 500ML,1,65
MESWAK 100GM,1,65
DABUR HONEY 100G,1,65
W TILL 250,1,65
NY THILL 100G,2,65
RED LABELE NC 10,1,64
HMT SONA,1,64
ANNAS FLOWER,0.06,63
EXO ROUND S,2,60
JEERA 10RS,6,60
CYCLE 20RS,2,60
POWER SOAP,6,59.2
ANIL RAGI 500GM,1,58
COMFART 180ML,1,56
GRB PULIOGARE 10,1,55
CAMPOPR 70RS,1,55
CORN FLOUR,1,55
STEEL SCRUB,4,53
VIM LIQ 250ML,1,53
CAMPAR 20RS,5,50
CYCLE 10RS,5,50
VIM 5RS,10,50
LIFE BOY 10RS,5,50
HOMELITE,5,49
WHEEL SOAP 10RS,5,49
TATA GOLD 100G,1,48
TATA AVALAKI 500,1,48
LEVISTA 2RS,24,48
LONG BODY,1,46
ALA 500ML,1,45
PITAMBARI 100G,1,45
LION DATES 250GM,0.5,45
MTR LIME 15RS,3,45
ANIL SEMIYA 200M,2,44
NUTS 40RS,1,40
OMA 100GM,1,40
GOOD DAY 10RS,4,40
B THILL 50G,2,40
BUDS TULIP,1,40
IG PULIOGARE,4,40
CASEW JH 10RS,4,40
TEJU 10RS,4,40
AJAY HARD,2,40
SODA,4,40
PICKLE 20RS,2,40
SOUMF 50GM,2,40
DETTOL SOAP S,1,38
COMFART 4RS,9,36
K DEVAN 100GM,1,34
DOVE SHAMPO 2RS,15,30
SCBRITE 15RS,2,30
GINGER GARLIC 5R,6,30
JOLA,0.5,30
AA CHIKEN 10RS,3,30
GRB 10RS,3,30
PASTA 25RS,1,30
STAR KESAR,3,30
APLA 30RS,1,28
MTR BISIBELE 10R,2,24
DABUR HONEY 20RS,1,22
AA RASAM 50GM,1,20
BUDS N,1,20
SCBRITE 10RS,2,20
DABUR PASTE 20RS,1,20
FAIR N LOVELY 20,1,20
HORLICKS 5RS,4,20
LAVANG 10GM,1,20
DRY GRAPES L,0.05,20
BARLY 100G,1,20
HING 10RS,2,20
RIN POWDER 10RS,2,19
PALAV LEAF LOOSE,0.05,17.5
CELL 16RS,1,16
AA TP 100GM,0.5,15
BATHI,1,15
SUN SILK 1RS,10,10
TIDE 10RS,1,10
PALAV MIX 10RS,1,10
RED LABLE 10RS,1,10
CHETA MBOX,1,10
SubTotal,7144.735,497452.47
